1,1642,3,12,1434,2017-7-1,0
2,623,10,15,1574,2017-6-4,1
3,932,23,15,803,2017-6-17,0
4,426,15,6,911,2017-5-16,0
5,1338,17,14,1555,2017-12-11,1
6,1101,3,20,799,2017-4-27,0
7,784,16,5,410,2017-4-27,0
8,605,20,17,480,2017-10-17,1
9,921,12,1,445,2017-5-27,0
10,326,22,5,1934,2017-7-7,1
11,1875,4,6,747,2017-8-5,1
12,1323,17,13,184,2017-7-18,0
13,77,21,16,1536,2017-10-12,1
14,1874,23,3,125,2017-7-19,0
15,1173,14,17,1333,2017-5-18,0
16,91,19,9,1918,2017-10-21,1
17,1745,22,9,219,2017-9-19,1
18,1589,12,8,1888,2017-8-10,0
19,1723,20,7,550,2017-8-28,1
20,25,18,4,1129,2017-9-13,1
21,1289,8,8,1662,2017-10-21,0
22,675,8,4,988,2017-7-28,0
23,211,20,18,694,2017-2-21,1
24,1759,18,1,1331,2017-10-15,0
25,942,4,4,1664,2017-5-7,0
26,1330,23,20,165,2017-6-1,1
27,1933,20,5,1840,2017-11-17,0
28,825,6,19,864,2017-1-6,0
29,1616,1,1,1685,2017-11-7,1
30,1819,9,20,1939,2017-8-20,0
31,643,23,8,352,2017-12-1,0
32,743,8,18,1930,2017-10-5,0
33,1952,7,18,608,2017-10-16,1
34,1975,22,15,1900,2017-12-17,0
35,330,23,18,1998,2017-8-7,0
36,665,12,14,286,2017-7-28,1
37,650,16,10,1253,2017-9-13,1
38,53,20,18,1537,2017-5-8,0
39,720,14,18,440,2017-8-6,1
40,1215,10,4,1903,2017-3-14,0
41,1139,13,15,1783,2017-3-2,1
42,837,7,1,415,2017-4-28,1
43,806,23,3,1119,2017-7-27,0
44,479,15,10,1172,2017-7-26,0
45,1090,11,18,1372,2017-4-13,1
46,1700,11,3,1387,2017-3-27,0
47,1420,22,8,534,2017-4-7,1
48,945,4,16,1733,2017-11-7,1
49,1066,3,4,675,2017-11-24,0
50,592,1,8,1329,2017-2-18,0
51,1656,12,14,1509,2017-3-26,0
52,144,21,3,341,2017-1-2,0
53,1591,14,8,1590,2017-4-22,1
54,1764,13,9,211,2017-6-11,0
55,1958,19,12,1594,2017-2-8,0
56,850,21,12,876,2017-1-3,0
57,1922,22,5,1703,2017-3-14,1
58,911,13,11,185,2017-8-27,1
59,1050,22,11,1785,2017-2-14,0
60,1189,2,6,315,2017-8-2,0
61,532,13,4,1152,2017-7-11,1
62,1168,15,11,1918,2017-7-28,0
63,859,7,9,396,2017-10-23,1
64,1541,19,16,1689,2017-9-24,1
65,392,14,20,1637,2017-12-25,0
66,1448,15,19,343,2017-2-4,1
67,1481,1,13,958,2017-1-3,0
68,776,8,9,1722,2017-8-15,1
69,164,4,7,227,2017-11-22,1
70,1331,16,4,838,2017-3-27,1
71,1124,20,17,187,2017-5-21,0
72,235,4,12,1473,2017-11-3,1
73,653,8,4,472,2017-8-20,1
74,626,10,13,703,2017-7-16,0
75,1393,2,6,1394,2017-1-13,1
76,356,10,1,742,2017-5-11,1
77,1350,5,19,131,2017-2-21,0
78,247,13,18,748,2017-10-20,0
79,438,7,1,1031,2017-3-19,1
80,1798,22,2,497,2017-9-7,1
81,879,5,3,1770,2017-6-23,0
82,223,23,9,1887,2017-8-13,1
83,1229,22,17,1087,2017-3-17,1
84,1373,21,1,1594,2017-11-1,1
85,1369,20,12,787,2017-1-23,0
86,1717,20,10,391,2017-11-1,0
87,1276,8,12,1665,2017-5-10,1
88,484,15,12,1282,2017-2-26,1
89,1384,5,12,1401,2017-9-2,0
90,474,20,13,526,2017-8-21,1
91,208,13,5,1084,2017-4-20,1
92,862,9,7,440,2017-5-20,1
93,1227,3,6,1343,2017-3-7,0
94,591,17,5,1614,2017-7-6,1
95,1722,5,18,1665,2017-10-7,0
96,208,6,2,1369,2017-5-3,0
97,388,13,3,417,2017-2-19,0
98,448,5,18,949,2017-11-18,1
99,1464,16,4,273,2017-11-23,1
100,553,22,11,1416,2017-1-20,1
101,1221,21,12,853,2017-2-8,1
102,348,2,8,1040,2017-7-6,0
103,949,1,10,811,2017-6-11,0
104,1492,13,2,1559,2017-7-18,0
105,497,8,5,471,2017-4-18,1
106,557,6,15,189,2017-2-19,0
107,581,16,2,1579,2017-5-12,0
108,1765,3,2,1097,2017-3-12,1
109,1216,1,11,1958,2017-12-28,1
110,663,12,18,623,2017-11-23,1
111,1186,6,13,208,2017-8-9,0
112,59,8,6,1013,2017-9-2,1
113,1516,19,3,1618,2017-11-17,0
114,1208,5,2,1364,2017-4-18,0
115,660,16,5,1559,2017-8-6,0
116,1549,22,8,916,2017-7-17,1
117,1655,2,9,1553,2017-8-23,0
118,1888,22,20,685,2017-12-1,1
119,495,1,4,911,2017-6-10,1
120,372,19,6,368,2017-10-6,1
121,1004,20,9,188,2017-12-20,0
122,305,13,19,1730,2017-10-5,0
123,1525,12,7,1108,2017-10-10,0
124,337,6,17,1645,2017-8-2,1
125,1262,9,8,1053,2017-1-23,0
126,955,23,12,1817,2017-2-20,1
127,1546,9,16,1913,2017-10-26,1
128,1223,4,17,1840,2017-12-22,1
129,1173,18,10,681,2017-3-8,1
130,1963,6,11,1211,2017-2-11,1
131,1170,19,16,1831,2017-12-5,1
132,811,8,1,803,2017-6-17,0
133,1256,15,17,1994,2017-6-7,0
134,620,1,15,945,2017-10-13,1
135,1382,4,12,1990,2017-8-17,0
136,1079,21,4,257,2017-7-20,1
